"","Zip Code","Total","Information","Professional","Percent"
"1",90001,10313,52,147,0.0192960341316785
"2",90002,4133,0,29,0.00701669489474958
"3",90003,7359,0,56,0.00760972958282375
"4",90004,10362,92,769,0.0830920671685003
"5",90005,6552,179,409,0.0897435897435897
"6",90006,9937,58,384,0.0444802254201469
"7",90007,15674,112,343,0.0290289651652418
"8",90008,6794,97,74,0.0251692670002944
"9",90009,6328,NA,2,NA
"10",90010,28418,1107,4757,0.206348089239215
"11",90011,11578,29,90,0.0102781136638452
"12",90012,164248,1931,910,0.0172970142711022
"13",90013,21435,2104,2576,0.218334499650105
"14",90014,12840,198,2153,0.18309968847352
"15",90015,31240,705,1524,0.0713508322663252
"16",90016,12176,666,653,0.108327858081472
"17",90017,63353,1111,13966,0.237983994443831
"18",90018,7053,25,456,0.0681979299588827
"19",90019,10159,169,517,0.067526331331824
"20",90020,15512,36,165,0.0129577101598762
"21",90021,28965,567,2904,0.119834282755049
"22",90022,17959,127,296,0.0235536499805112
"23",90023,17554,62,251,0.0178306938589495
"24",90024,51424,855,3110,0.0771040759178594
"25",90025,36117,4661,5824,0.290306503862447
"26",90026,11655,324,555,0.0754182754182754
"27",90027,27640,1326,619,0.0703690303907381
"28",90028,33070,6031,2736,0.265104324160871
"29",90029,7373,61,198,0.0351281703512817
"30",90030,199,NA,NA,NA
"31",90031,9867,219,308,0.0534103577581838
"32",90032,10069,18,0,0.00178766511073592
"33",90033,18532,0,324,0.0174832721778545
"34",90034,12871,575,1065,0.127418227021987
"35",90035,9519,773,647,0.149175333543439
"36",90036,27938,3077,3407,0.232085331806142
"37",90037,8796,0,14,0.00159163256025466
"38",90038,13276,3766,1282,0.380235010545345
"39",90039,9832,280,579,0.0873677786818552
"40",90040,40445,102,1748,0.0457411299295339
"41",90041,8079,83,312,0.0488921896274291
"42",90042,6141,114,265,0.0617163328448136
"43",90043,7206,38,102,0.019428254232584
"44",90044,8074,52,333,0.0476839237057221
"45",90045,69430,1869,2101,0.0571798934178309
"46",90046,16824,643,1561,0.131003328578222
"47",90047,5906,9,40,0.00829664747714189
"48",90048,35492,887,3261,0.116871407641159
"49",90049,13929,882,992,0.134539450068203
"50",90050,0,NA,NA,NA
"51",90051,83,NA,0,NA
"52",90052,3083,NA,0,NA
"53",90053,0,NA,NA,NA
"54",90054,158,NA,0,NA
"55",90055,0,NA,NA,NA
"56",90056,3258,22,0,0.00675260896255371
"57",90057,10738,130,445,0.0535481467684858
"58",90058,38589,7,1506,0.0392080644743321
"59",90059,6797,0,4,0.000588494924231278
"60",90060,10,NA,NA,NA
"61",90061,7004,0,158,0.0225585379782981
"62",90062,3677,7,22,0.00788686429154202
"63",90063,6587,0,104,0.0157886746622134
"64",90064,33320,5361,4326,0.290726290516206
"65",90065,9592,248,716,0.100500417014178
"66",90066,15473,1548,3782,0.34447101402443
"67",90067,32187,3040,10704,0.427004691335011
"68",90068,8278,804,2185,0.361077554964967
"69",90069,23388,1990,2681,0.199717804002052
"70",90070,0,NA,0,NA
"71",90071,35133,0,12730,0.362337403580679
"72",90072,0,NA,0,NA
"73",90073,4656,NA,0,NA
"74",90075,0,0,NA,NA
"75",90076,1,NA,NA,NA
"76",90077,2248,0,137,0.0609430604982206
"77",90078,33,0,5,0.151515151515152
"78",90079,1398,9,30,0.0278969957081545
"79",90080,0,NA,NA,NA
"80",90081,16,NA,NA,NA
"81",90082,0,NA,NA,NA
"82",90083,0,NA,NA,NA
"83",90086,575,0,24,0.0417391304347826
